tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0276818,movie,Bungee Jumping of Their Own,Beonjijeompeureul hada,0,2001,\N,107,"Drama,Romance",6.9,1421
tt0276820,movie,Berlin Is in Germany,Berlin Is in Germany,0,2001,\N,99,Drama,7.1,1174
tt0276830,movie,Renegade,Blueberry,0,2004,\N,124,"Adventure,Fantasy,Western",5.2,12363
tt0276919,movie,Dogville,Dogville,0,2003,\N,178,"Crime,Drama",8.0,159356
tt0276935,movie,Electric Dragon 80.000 V,Electric Dragon 80.000 V,0,2001,\N,55,"Action,Fantasy,Sci-Fi",6.8,2729
tt0276977,movie,Gang Tapes,Gang Tapes,0,2001,\N,91,"Crime,Drama",6.1,1134
tt0277027,movie,I Am Sam,I Am Sam,0,2001,\N,132,Drama,7.6,155784
tt0277296,movie,The Scorpion King,The Scorpion King,0,2002,\N,92,"Action,Adventure,Fantasy",5.5,146032
tt0277327,movie,As Far as My Feet Will Carry Me,So weit die Füße tragen,0,2001,\N,158,"Action,Adventure,Drama",7.3,8129
tt0277371,movie,Not Another Teen Movie,Not Another Teen Movie,0,2001,\N,89,Comedy,5.8,116720
tt0277412,movie,Unspeakable,Unspeakable,0,2002,\N,108,"Horror,Thriller",3.6,1513
tt0277434,movie,We Were Soldiers,We Were Soldiers,0,2002,\N,138,"Action,Drama,History",7.2,152001
tt0277605,movie,Bio-Zombie,Sang faa sau see,0,1998,\N,94,"Comedy,Horror,Sci-Fi",6.4,2747
tt0277615,movie,Bug,Bug,0,2002,\N,86,Comedy,7.1,1171
tt0277703,movie,"Feuer, Eis & Dosenbier","Feuer, Eis & Dosenbier",0,2002,\N,83,Comedy,3.4,1179
tt0277705,movie,Final,Final,0,2001,\N,111,"Drama,Sci-Fi,Thriller",5.8,1386
tt0277744,movie,Dead Heat,Dead Heat,0,2002,\N,120,"Action,Comedy,Crime",5.2,1496
tt0277909,movie,Mutant Aliens,Mutant Aliens,0,2001,\N,81,"Animation,Comedy,Sci-Fi",6.6,1314
tt0277941,movie,Ned Kelly,Ned Kelly,0,2003,\N,110,"Action,Adventure,Biography",6.4,28187
tt0277986,movie,Killer Rats,Rats,0,2003,\N,92,"Horror,Sci-Fi,Thriller",3.4,1211
tt0278006,movie,Killing Mad Dogs,Sagkoshi,0,2001,\N,135,"Drama,Mystery,Thriller",7.7,2965
tt0278035,movie,Shooters,Shooters,0,2002,\N,95,"Action,Crime,Drama",5.4,1228
tt0278159,movie,Under the Moonlight,Zir-e noor-e maah,0,2001,\N,96,Drama,6.9,1135
tt0278259,movie,.com for Murder,.com for Murder,0,2002,\N,96,"Horror,Sci-Fi,Thriller",2.7,5063
tt0278291,movie,Ajnabee,Ajnabee,0,2001,\N,165,"Action,Crime,Drama",6.3,9181
tt0278295,movie,All About the Benjamins,All About the Benjamins,0,2002,\N,95,"Action,Comedy,Crime",5.8,15706
tt0278315,movie,Arjun Pandit,Arjun Pandit,0,1999,\N,150,"Action,Crime,Drama",5.4,1060
tt0278351,movie,Bichunmoo,Bichunmoo,0,2000,\N,118,"Action,Drama,Fantasy",6.1,2774
tt0278413,movie,Distance,Distance,0,2001,\N,132,Drama,6.8,1815
tt0278435,movie,Enough,Enough,0,2002,\N,115,"Crime,Drama,Thriller",5.8,48025
tt0278487,movie,Hotel,Hotel,0,2001,\N,93,Comedy,4.1,2158
tt0278488,movie,How High,How High,0,2001,\N,93,"Comedy,Fantasy",6.2,62079
tt0278500,movie,The Importance of Being Earnest,The Importance of Being Earnest,0,2002,\N,97,"Comedy,Drama,Romance",6.8,24808
tt0278501,movie,In Harihar Nagar,In Harihar Nagar,0,1990,\N,133,"Comedy,Crime,Mystery",8.6,4091
tt0278504,movie,Insomnia,Insomnia,0,2002,\N,118,"Drama,Mystery,Thriller",7.2,320665
tt0278522,movie,Jodi No. 1,Jodi No. 1,0,2001,\N,180,"Comedy,Crime,Romance",5.8,2721
tt0278597,movie,The Nugget,The Nugget,0,2002,\N,97,Comedy,5.9,2035
tt0278675,movie,Revelation,Revelation,0,2001,\N,111,"Adventure,Drama,Fantasy",4.7,1671
tt0278731,movie,Spider,Spider,0,2002,\N,98,"Drama,Mystery,Thriller",6.8,41270
tt0278736,movie,Stanley Kubrick: A Life in Pictures,Stanley Kubrick: A Life in Pictures,0,2001,\N,142,"Biography,Documentary",8.0,12225
tt0278815,movie,"If It Don't Fit, Use a Bigger Hammer","Was nicht passt, wird passend gemacht",0,2002,\N,101,Comedy,6.6,4153
tt0278823,movie,Hollywood Ending,Hollywood Ending,0,2002,\N,112,"Comedy,Romance",6.5,28215
