tconst,averageRating,numVotes
tt0030202,6.5,1314
tt0030216,6.0,1009
tt0030241,7.7,18317
tt0030252,7.5,3262
tt0030265,7.1,1027
tt0030287,7.4,15126
tt0030337,7.0,1169
tt0030341,7.7,57461
tt0030386,6.7,2063
tt0030396,6.7,2841
tt0030413,6.6,1526
tt0030418,7.3,3295
tt0030424,7.0,1399
tt0030442,7.3,2289
tt0030473,6.0,1241
tt0030491,6.6,1204
tt0030517,6.8,1362
tt0030522,7.7,5271
tt0030523,7.6,4346
tt0030637,7.7,9706
tt0030643,7.7,10016
tt0030657,7.0,1934
tt0030696,6.6,5565
tt0030709,6.3,1033
tt0030743,6.4,1323
tt0030744,6.9,1665
tt0030746,6.9,1480
tt0030755,6.7,2138
tt0030764,7.0,2568
tt0030824,6.6,2338
tt0030845,4.0,1952
tt0030848,6.8,2753
tt0030865,7.1,2119
tt0030879,6.6,1684
tt0030944,7.1,4218
tt0030989,6.6,1368
tt0030993,7.8,28038
tt0030996,6.8,1659
tt0031002,7.3,1634
tt0031020,6.8,1409
tt0031022,7.3,7516
tt0031033,6.2,1808
tt0031047,7.3,8205
tt0031058,7.3,1033
tt0031060,6.8,6492
tt0031066,6.3,2855
tt0031067,7.5,4635
tt0031088,7.5,6552
tt0031143,7.1,3804
tt0031147,7.2,1891
tt0031148,6.5,1366
tt0031149,7.0,1522
tt0031173,6.7,2175
tt0031208,5.7,1540
tt0031210,7.4,12473
tt0031225,7.6,12613
tt0031235,7.1,5802
tt0031252,7.0,6825
tt0031260,7.2,3747
tt0031302,6.8,1819
tt0031309,7.8,1037
tt0031314,7.1,2370
tt0031322,6.7,5780
tt0031334,7.4,6617
tt0031346,6.6,1041
tt0031359,7.3,5320
tt0031377,6.8,2194
tt0031381,8.2,335736
tt0031385,7.9,11636
tt0031387,4.8,1683
tt0031397,6.6,4880
tt0031398,7.2,12848
tt0031448,7.4,11749
tt0031455,7.8,12338
tt0031470,5.2,1058
tt0031473,6.5,1724
tt0031477,7.0,3555
tt0031491,6.6,2933
tt0031500,6.8,3464
tt0031505,6.3,11253
tt0031507,7.0,4986
tt0031514,7.7,8312
tt0031516,6.9,2560
tt0031536,6.4,1606
tt0031580,7.1,6781
tt0031593,7.3,6490
tt0031602,6.2,4133
tt0031614,6.8,1972
tt0031619,7.0,1923
tt0031647,7.8,5630
tt0031678,6.4,1451
tt0031679,8.1,121880
tt0031704,6.1,1005
tt0031709,6.5,1470
tt0031725,7.8,23069
tt0031742,7.8,6913
tt0031747,6.4,2675
tt0031750,7.4,4078
tt0031754,7.7,2258
tt0031762,7.6,15760
tt0031796,4.7,1132
tt0031826,7.0,6193
tt0031831,6.5,1127
tt0031835,6.8,2313
tt0031842,6.5,1222
tt0031851,5.7,2568
tt0031867,7.9,15679
tt0031885,7.9,31482
tt0031890,6.2,1086
tt0031951,7.1,11778
tt0031968,6.9,2473
tt0031971,7.8,54210
tt0031973,7.0,1544
tt0031976,7.0,1183
tt0031981,7.0,1200
tt0031983,6.9,2800
tt0031995,6.4,1001
tt0032007,6.5,3631
tt0032022,6.8,2599
tt0032043,6.5,1510
tt0032049,6.6,2241
tt0032080,7.1,3404
tt0032138,8.1,430759
tt0032143,7.7,15011
tt0032145,7.5,19868
tt0032152,6.9,1892
tt0032153,6.3,1298
tt0032155,7.5,9227
tt0032156,7.8,4427
tt0032179,6.1,1275
tt0032181,7.3,2073
tt0032186,8.0,1516
tt0032194,7.4,5429
tt0032206,6.6,1021
tt0032209,6.5,1351
tt0032215,4.6,2070
tt0032220,6.8,1045
tt0032221,6.8,1510
tt0032234,7.1,7834
tt0032245,6.1,1424
tt0032247,6.5,2339
tt0032258,6.3,2897
tt0032264,6.2,1995
tt0032273,7.0,3845
tt0032281,6.3,1144
tt0032283,6.1,1327
tt0032284,7.3,2802
tt0032285,7.0,3210
tt0032290,6.8,1006
tt0032324,7.1,1764
tt0032325,7.1,1532
tt0032326,7.1,1489
tt0032338,7.4,4298
tt0032339,7.2,4323
tt0032342,7.2,2721
tt0032349,6.5,1845
tt0032356,6.9,1359
tt0032376,6.8,3102
tt0032383,6.7,3070
tt0032390,5.4,3472
tt0032397,6.9,1053
tt0032404,5.5,1383
tt0032410,6.4,1374
tt0032412,6.4,2911
tt0032413,7.4,1843
tt0032432,7.0,1812
tt0032447,7.0,1169
tt0032455,7.7,104508
tt0032457,5.4,1327
tt0032467,6.6,2036
tt0032475,6.6,1511
tt0032484,7.4,23900
tt0032520,7.0,4188
tt0032536,6.8,5850
tt0032551,8.1,100468
tt0032553,8.4,238443
tt0032554,7.3,4430
tt0032599,7.8,63514
tt0032610,7.0,1530
tt0032612,6.0,1269
tt0032617,7.4,3855
tt0032635,6.5,5349
tt0032636,6.7,1931
tt0032637,6.0,3395
tt0032643,6.6,1479
tt0032651,6.9,1521
tt0032653,5.0,3379
tt0032671,6.9,4072
tt0032676,6.7,2163
tt0032701,7.5,14675
tt0032728,6.9,4967
