tconst,directors,writers
tt0107166,nm0080315,"nm0080327,nm0451148,nm0784044"
tt0107175,nm0000419,nm0000419
tt0107206,nm0000583,nm0536587
tt0107207,nm0006487,"nm0174840,nm0313623,nm0006487"
tt0107209,nm0000694,"nm0000694,nm0956065,nm0718637"
tt0107211,nm0001490,"nm0257209,nm0427468"
tt0107212,nm0082802,nm0082802
tt0107214,nm0361864,"nm0352780,nm0233544,nm0361864"
tt0107225,nm0921631,"nm0070380,nm0073053,nm0195899,nm0207401,nm0519404,nm0767586,nm0921631"
tt0107227,"nm15625898,nm0032714,nm15625900,nm15625899",nm1431644
tt0107247,nm0380980,"nm0564627,nm0001873"
tt0107249,nm0471452,"nm0442396,nm0451168"
tt0107254,nm0546057,"nm0401095,nm0546057,nm0520893"
tt0107277,nm0916502,nm0214421
tt0107282,nm0911061,"nm0848819,nm0060103"
tt0107286,nm0394280,"nm0171474,nm0192342"
tt0107289,"nm0280745,nm0617960",nm0617960
tt0107290,nm0000229,"nm0000341,nm0462895"
tt0107302,nm0784061,"nm0506629,nm0582481"
tt0107311,nm0007131,"nm0007131,nm0445474,nm0659238"
tt0107315,nm0000264,nm0000264
tt0107321,nm0004363,"nm0063357,nm1174579,nm1226230"
tt0107322,nm0001752,"nm0396229,nm0001752"
tt0107330,nm0941811,"nm0250906,nm0941811"
tt0107331,nm0892400,"nm0127240,nm0396951,nm0892400"
tt0107333,nm0089502,nm0089502
tt0107349,nm0761879,"nm0761879,nm0778332"
tt0107358,nm0862514,nm0544554
tt0107362,nm0001532,"nm0672015,nm0498963,nm0000948,nm0036714"
tt0107376,nm0309697,nm0309697
tt0107384,nm0442454,"nm0433520,nm0442454,nm0885417"
tt0107387,nm0428751,nm0428751
tt0107413,nm0487567,nm0492909
tt0107426,nm0000934,"nm0000934,nm0943382,nm0672546"
tt0107438,nm0740568,"nm0740568,nm0228908,nm0002132"
tt0107443,nm0004838,nm0800319
tt0107447,nm0000780,nm0292081
tt0107468,nm0000343,nm0404846
tt0107471,nm0029242,"nm0094726,nm0029242"
tt0107472,nm0618284,nm0618284
tt0107473,nm0573796,nm0697115
tt0107474,"nm0000041,nm0393094","nm0393094,nm0000041,nm1486940"
tt0107478,nm0000907,"nm0105033,nm0771486,nm0805965"
tt0107479,nm0048056,"nm0048056,nm0048055"
tt0107497,nm0000887,"nm0815070,nm0566380,nm0291082"
tt0107501,nm0000154,"nm0390708,nm0534352"
tt0107504,nm0480843,nm0480843
tt0107507,nm0000095,"nm0000095,nm0108613"
tt0107511,nm0019242,"nm0803711,nm0883908,nm0180260,nm0019242"
tt0107523,nm0002137,nm0468293
